No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
1,Inventory Management,Inventory Supply,Page Header,Header,Page Title,Inventory Availability page title,VARCHAR(255),Fixed value,N/A,page_title,Inventory Availability,Main page heading
2,Inventory Management,Inventory Supply,Page Header,Header,Page Description,Inventory supply management description,VARCHAR(500),Fixed value,N/A,page_description,View and manage inventory supply levels across all stores and items,Subtitle under heading
3,Inventory Management,Inventory Supply,Search Filters,Store Search,Search Store ID,Search input for store identifier,VARCHAR(50),Direct,inv_master_stock / master_locations,location_id,CFR1819,Text input with placeholder "Search Store ID..."
4,Inventory Management,Inventory Supply,Search Filters,Store Search,Search Store Name,Search input for store name,VARCHAR(255),Direct,master_locations,location_name,Tops Central World,Text input with placeholder "Search Store Name..."
5,Inventory Management,Inventory Supply,Search Filters,Product Search,Search Product ID,Search input for product identifier/SKU,VARCHAR(100),Direct,pim_master_product_base_info,product_id,PROD-001,Text input with placeholder "Search Product ID..."
6,Inventory Management,Inventory Supply,Search Filters,Product Search,Search Product Name,Search input for product name,VARCHAR(256),Direct,pim_master_product_base_info,product_name,Betagen Fermented Milk 400ml,Text input with placeholder "Search Product Name..."
7,Inventory Management,Inventory Supply,Search Filters,Dropdown Filters,Supply Type Filter,Filter by supply type (On Hand or Pre-Order),VARCHAR(50),Fixed value,inv_master_stock,supply_type,"All Supply Types, On Hand, Pre-Order",Dropdown with predefined values
8,Inventory Management,Inventory Supply,Search Filters,Dropdown Filters,View Type Filter,Filter by organization/channel view,VARCHAR(255),Fixed value,"pim_master_org, inv_master_stock",view_type,"All View Types, ECOM-TH-CFR-LOCD-STD, ECOM-TH-CFR-LOCD-MKP, MKP-TH-CFR-LOCD-STD, ECOM-TH-DSS-NW-STD, ECOM-TH-DSS-LOCD-EXP",Fixed value dropdown with org/channel codes
9,Inventory Management,Inventory Supply,Search Filters,Controls,Refresh Button,Refresh data with current filters,N/A,N/A,N/A,refresh_button,N/A,Triggers data reload
10,Inventory Management,Inventory Supply,Search Filters,Controls,Clear All Button,Clear all search filters and dropdowns,N/A,N/A,N/A,clear_all_button,N/A,Clears all filter values when clicked
11,Inventory Management,Inventory Supply,Search Filters,Validation,Search Requirement,At least one search field must contain value,BOOLEAN,Logic,N/A,requires_search_input,true,Page shows message if no search criteria entered
12,Inventory Management,Inventory Supply,Results Table,Column,Store ID,Store location identifier in table results,VARCHAR(50),Direct,master_locations,location_id,CFR1819,Sortable column - shows store code
13,Inventory Management,Inventory Supply,Results Table,Column,Store Name,Store location name in results,VARCHAR(255),Direct,master_locations,location_name,Tops Central World,Non-sortable column - store display name
14,Inventory Management,Inventory Supply,Results Table,Column,Product ID,Product identifier/SKU in results,VARCHAR(100),Direct,pim_master_product_base_info,product_id,PROD-001,Sortable column - monospace font
15,Inventory Management,Inventory Supply,Results Table,Column,Product Name,Product display name in results,VARCHAR(256),Direct,pim_master_product_base_info,product_name,Betagen Fermented Milk 400ml,Non-sortable column - readable product name
16,Inventory Management,Inventory Supply,Results Table,Column,Total Qty,Total quantity in inventory (stock on hand),INTEGER,Direct,inv_master_stock,current_stock,42,Sortable column - right-aligned badge with muted background
17,Inventory Management,Inventory Supply,Results Table,Column,Available Qty,Available quantity (stock minus reserved),INTEGER,Logic,inv_master_stock,"available_stock (current_stock - reserved_stock)",35,Sortable column - color-coded badge: Green if > 0 else Red; Right-aligned
18,Inventory Management,Inventory Supply,Results Table,Column,Supply Type,Supply type badge in results,VARCHAR(50),Direct,inv_master_stock,supply_type,"On Hand, Pre-Order",Sortable column - Yellow badge for Pre-Order; Blue badge for On Hand
19,Inventory Management,Inventory Supply,Results Table,Pagination,Results Count,Display count of filtered records,VARCHAR(100),Logic,N/A,results_count,"Showing 30 of 199 products",Footer text showing current filtered vs total records
20,Inventory Management,Inventory Supply,Results Table,Sorting,Sortable Columns,Columns that support sorting,VARCHAR(100),Fixed value,N/A,sortable_columns,"Store ID (↑↓), Product ID (↑↓), Total Qty (↑↓), Available Qty (↑↓), Supply Type (↑↓)",Visual indicators for sort direction
21,Inventory Management,Inventory Supply,Results Table,Empty State,No Results Message,Message when no results found,VARCHAR(255),Fixed value,N/A,no_results_message,"No inventory records found matching your search criteria. Please try different search terms.",Displays when search returns zero records
22,Inventory Management,Inventory Supply,Results Table,Empty State,Initial Search Message,Message when no search criteria provided,VARCHAR(255),Fixed value,N/A,initial_message,"Please enter a Store ID, Store Name, Product ID, or Item Name to search inventory",Shows on page load
23,Inventory Management,Inventory Supply,Results Table,Empty State,Search Instructions,Help text for using search,VARCHAR(255),Fixed value,N/A,search_instructions,"Use the search fields above to find inventory data",Guidance text for users
24,Inventory Management,Inventory Supply,Page Interactions,Filter Behavior,Debounce Duration,Delay before filter triggers data fetch,INTEGER,Fixed value,N/A,debounce_ms,400,Milliseconds to wait after typing before fetching
25,Inventory Management,Inventory Supply,Page Interactions,Filter Behavior,Page Size,Number of records to fetch per request,INTEGER,Fixed value,N/A,page_size,2000,Client-side fetching limits
26,Inventory Management,Inventory Supply,Data Types,Stock Values,Stock Display Format,Format for displaying stock quantities,VARCHAR(50),Fixed value,N/A,stock_format,Number with locale-specific comma separators,Example: 1000 displays as "1,000"
